Name,type,price48,price144,price576,price1152,price2880,price10000,price20000
3D Embroidery,logos,0.5,0.38,0.3,0.25,0.25,0.2,0.2
Small Rubber Patch,logos,2.5,1.75,1.63,1.5,1.38,1.25,1.25
Medium Rubber Patch,logos,3.13,2.25,2.13,2,1.88,1.75,1.75
Large Rubber Patch,logos,3.75,3,2.5,2.25,2.13,2,2
Large Print Woven Patch,logos,3,2.25,2,1.88,1.75,1.63,1.63
Medium Print Woven Patch,logos,2.5,1.75,1.5,1.38,1.25,1.13,1.13
Small Print Woven Patch,logos,2,1.38,1,0.88,0.75,0.63,0.63
Small Leather Patch,logos,2.5,1.5,1.25,1.13,1,0.88,0.88
Medium Leather Patch,logos,3,1.88,1.75,1.63,1.5,1.38,1.38
Large Leather Patch,logos,3.38,2.25,2.13,2,1.88,1.75,1.75
Small Size Embroidery,Logos,1.75,1.13,0.88,0.75,0.63,0.5,0.5
Medium Size Embroidery,Logos,2.25,1.63,1.38,1.3,1.25,1.13,1.13
Large Size Embroidery,Logos,3,2,1.75,1.63,1.5,1.38,1.38
Hang Tag,Accessories,1.25,0.88,0.75,0.63,0.63,0.5,0.5
Inside Label,Accessories,0.75,0.63,0.5,0.38,0.38,0.3,0.3
B-Tape Print,Accessories,0.75,0.63,0.5,0.38,0.3,0.25,0.25
Sticker,Accessories,0.75,0.63,0.5,0.45,0.38,0.3,0.3
Metal Eyelet,Accessories,0.63,0.5,0.38,0.3,0.25,0.2,0.2
Rope Cost,Accessories,0.5,0.38,0.3,0.25,0.2,0.15,0.15
Buckle,Premium Closure,1.25,0.88,0.75,0.63,0.5,0.38,0.38
Fitted,Premium Closure,1.25,0.88,0.75,0.63,0.5,0.38,0.38
Flexfit,Premium Closure,1.25,0.88,0.75,0.63,0.5,0.38,0.38
Stretched,Premium Closure,1.25,0.88,0.75,0.63,0.5,0.38,0.38
Suede Cotton,Premium Fabric,3,2.5,2,1.75,1.63,1.5,1.5
Acrylic,Premium Fabric,3,2.5,2,1.75,1.63,1.5,1.5
Air Mesh,Premium Fabric,1.25,0.88,0.75,0.7,0.63,0.63,0.5
Camo,Premium Fabric,1.25,1,0.88,0.75,0.63,0.5,0.5
Genuine Leather,Premium Fabric,5,4.5,4.25,4.13,4,3.88,3.88
Laser Cut,Premium Fabric,1.25,1,0.88,0.75,0.7,0.63,0.63
Run,Application,0.75,0.63,0.5,0.45,0.38,0.3,0.3
Satin,Application,0.75,0.63,0.5,0.45,0.38,0.3,0.3
Regular Delivery,Shipping,4.29,3.29,2.71,2.64,2.57,2.43,2.43
Priority Delivery,Shipping,4.57,3.57,3,2.93,3,2.86,2.86
Air Freight,Shipping,,,,,1.71,1.43,1.43
Sea Freight,Shipping,,,,,1,0.5,0.43
Small Mold Charge,Mold,40,40,40,40,40,40,40
Medium Mold Charge,Mold,60,60,60,60,60,60,60
Large Mold Charge,Mold,80,80,80,80,80,80,80
Graphics,Service,50,50,50,50,50,50,50
Sampling,Service,150,150,150,150,150,150,150
